trigger,Ko,Rej
5,0.00006073198311397577406411525806177016434933866631,0.00634930329012039399799481214436173501821313704386
10,0.000115533956560290994722747706717941183687064000780,0.005595379195924424998322716732139005816426988978400
15,0.000165448339180761028617248159082550119858452510345,0.005250576494116113603870348158210520360239235412215
20,0.000211291727315020784480854398869034152939164716632,0.005015271252706731137620028773721067818535636051473
25,0.000253701368378214429804515556505432688899744792085,0.004828857134052271712398958539307652935853219779474
30,0.0002931827857187452080593152790076160636888409561752,0.0046706843046867708494283256333529579035273681135885
35,0.0003301429579188989462354610398751949103003497497451,0.0045315743109088944099226717324756513006755660539938
40,0.0003649137728618430826729906174940008242868944915542,0.0044066803086786994601067164692435684588754178169274
45,0.000397768917609652070852707756290039675786694762416,0.004293098080540243501921971074040827264217514621872
50,0.0004289362718499153136110648161007978788635041548194,0.0041889065075690893826602069951828027901577846938506
55,0.000458607166174425047831724960072445362834814624783,0.004092730055111400258587483171818031210791499083579
60,0.0004869434140436035717034488180084859080514805975590,0.0040035197729649223964238729695653386609370716978369
65,0.0005140827344181639504130550471496724033691986174406,0.0039204355193621176867639294558154420378421349228184
70,0.00054014299148051131562427454459364326289925069255158,0.00384277886573939034209927311082940198490601805366992
75,0.0005652255511312158138330450162305854309615028594609,0.0037699529763868789974224567362863057645681703838511
80,0.000589417968562635600242336234564152974634866077807551,0.003701437569793560683384638514791092118054719639723214
85,0.0006127961624493043174880304969386815551243428025428,0.0036367726609703993068708589561132286110945785586986
90,0.0006354261903581056013387273288816061545507626548397,0.0035755475944383021769255097556678944049843016354259
95,0.0006573657109028419922467357526766703926139812313408,0.0035173933610169984878199251954106332155471240141939
100,0.0006786651973127793072204740789387895588779423794891,0.0034619770076462242059560748331953041217691294467558
105,0.0006993689517890589004534023883106440617331021862283,0.0034089974142765609670695945855151336668715947670924
110,0.00071951595884712531903462511914846089597002955344366,0.00335818198466577257075550856820525891418039225771704
115,0.0007391406073978049532390330005861016444770449411840,0.0033092839622123534922486239202089755994006848521746
120,0.0007582733049703772914414500351437501813186130378266,0.0032620801832505516872479816403815082309603664874770
125,0.0007769410026880640570673057500836540055085981808731,0.0032163691439293234063392781170127829494169975137686
130,0.00079516764586110396591992229685299421551397820440901,0.00317196929765614681394269824272381847658726843627660
135,0.00081297456218175441390976212342220123708726872791300,0.00312871752672445343004130218060576952877008779729580
140,0.0008303807972779195153846349295459308976937429568863,0.0030864677493827539083381672795687542638785674821089
145,0.0008474034055686103436814947153265715147504422789482,0.0030450896354859640998202285725761390890184578437181
150,0.00086405770300854541912398133422687761428452286610005,0.00300446741190472115896552125523986380370337905290490
155,0.0008803574871488514515561667016242553082844818968953,0.0029644987444443714725497682752691241183916947662884
160,0.00089631522904929987897238879185434312044891746765100,0.00292509368686028564074277664212178995689719495230110
165,0.0009119422408840923171915853477577539722807729272868,0.0028861736902238699823274462347223994108730406225233
170,0.0009272488224237579633144174026368059760349421765010,0.0028476706677880382553403611930142174256597720826594
175,0.000942244389177820270057269940965621394903696024025231,0.002809526111767939060889935699872692973238367336317626
180,0.00095693758448974303432481003896095149643772373268955,0.00277169025937544342411581532465027693994694293175210
185,0.0009713363776404458983990435100627094232127868436309,0.0027341213060255883835230509062585543393051419938590
190,0.00098544814966137739789800921594331317051389658312003,0.00269678466405163893080043605235011696855211215072040
195,0.000999279768374361533699441049846678930908565239852767,0.002659652265490204913039541380220345597372807517130484
200,0.0010128376539705387751392554436749382978662648924559,0.0026227019076601600159915653613493747121523708332003
205,0.00102612783626204272511244651140361320959374865503579,0.00258591664030409208793879588082959598174817011447780
210,0.0010391560046064158020557429139715881570555397574227,0.0025492841930965061271565417701038157621828695272879
